id,fecha,producto,categoria,precio,cantidad,ciudad
1,2025-04-05,Tenis Urbanos,Calzado,130000,4,Cartagena
2,2025-04-04,Reloj Smart,Electrónica,300000,4,Bucaramanga
3,2025-04-06,Audífonos X100,Electrónica,150000,5,Bucaramanga
4,2025-04-07,Laptop Z15,Electrónica,2200000,4,Bucaramanga
5,2025-04-01,Audífonos X100,Electrónica,150000,4,Medellín
6,2025-04-24,Laptop Z15,Electrónica,2200000,5,Medellín
7,2025-04-02,Celular A23,Electrónica,800000,1,Bogotá
8,2025-04-16,Laptop Z15,Electrónica,2200000,3,Bogotá
9,2025-04-04,Laptop Z15,Electrónica,2200000,4,Cartagena
10,2025-04-18,Audífonos X100,Electrónica,150000,5,Medellín
11,2025-04-23,Reloj Smart,Electrónica,300000,2,Medellín
12,2025-04-17,Celular A23,Electrónica,800000,4,Barranquilla
13,2025-04-04,Zapatos Deportivos,Calzado,120000,3,Medellín
14,2025-04-16,Camiseta Azul,Ropa,25000,1,Cartagena
15,2025-04-20,Laptop Z15,Electrónica,2200000,4,Medellín
16,2025-04-26,Tenis Urbanos,Calzado,130000,5,Cartagena
17,2025-04-13,Celular A23,Electrónica,800000,1,Cali
18,2025-04-17,Audífonos X100,Electrónica,150000,3,Barranquilla
19,2025-04-06,Tenis Urbanos,Calzado,130000,3,Cali
20,2025-04-30,Zapatos Deportivos,Calzado,120000,2,Barranquilla
21,2025-04-17,Audífonos X100,Electrónica,150000,4,Cartagena
22,2025-04-07,Chaqueta Negra,Ropa,160000,4,Cartagena
23,2025-04-17,Reloj Smart,Electrónica,300000,3,Bogotá
24,2025-04-21,Camiseta Azul,Ropa,25000,5,Bogotá
25,2025-04-15,Audífonos X100,Electrónica,150000,2,Bogotá
26,2025-04-26,Celular A23,Electrónica,800000,1,Bogotá
27,2025-04-18,Reloj Smart,Electrónica,300000,1,Bucaramanga
28,2025-04-11,Laptop Z15,Electrónica,2200000,1,Barranquilla
29,2025-04-29,Laptop Z15,Electrónica,2200000,1,Bogotá
30,2025-04-19,Reloj Smart,Electrónica,300000,4,Medellín
31,2025-04-14,Zapatos Deportivos,Calzado,120000,4,Cali
32,2025-04-18,Zapatos Deportivos,Calzado,120000,4,Bogotá
33,2025-04-23,Celular A23,Electrónica,800000,1,Medellín
34,2025-04-06,Reloj Smart,Electrónica,300000,4,Cartagena
35,2025-04-10,Celular A23,Electrónica,800000,5,Bogotá
36,2025-04-04,Audífonos X100,Electrónica,150000,1,Barranquilla
37,2025-04-30,Audífonos X100,Electrónica,150000,5,Cartagena
38,2025-04-23,Camiseta Azul,Ropa,25000,2,Medellín
39,2025-04-25,Audífonos X100,Electrónica,150000,4,Bogotá
40,2025-04-15,Zapatos Deportivos,Calzado,120000,2,Bucaramanga
41,2025-04-09,Tenis Urbanos,Calzado,130000,5,Cali
42,2025-04-07,Tenis Urbanos,Calzado,130000,1,Cartagena
43,2025-04-17,Reloj Smart,Electrónica,300000,1,Cali
44,2025-04-09,Pantalón Jeans,Ropa,85000,5,Cartagena
